Date,classification,Sentiment_Score,total_volume_usd,net_pnl,trade_count,pnl_volatility
2024-06-02,Greed,1.0,29464.51,192.906947,93,4.425015055071825
2024-06-03,Greed,1.0,21466.86,562.808208,70,11.849209775400267
2024-06-04,Greed,1.0,24243.41,52.211438,53,2.4828445149485265
2024-06-05,Extreme Greed,2.0,25350.77,56.055506,54,2.9096994557928553
2024-06-06,Extreme Greed,2.0,137557.76,274.173187,234,3.3659483181601715
2024-06-07,Extreme Greed,2.0,1098588.76,8902.467416,440,103.25220050843622
2024-06-08,Greed,1.0,97351.88,129.13883900000002,29,13.610694021064663
2024-06-09,Extreme Greed,2.0,22410.22,0.0,17,0.0
2024-06-10,Greed,1.0,46587.93,31.266804999999998,53,1.9665257227845954
2024-06-11,Greed,1.0,373279.92,4320.631811,123,169.7310786091785
2024-06-12,Greed,1.0,193407.96,-21886.531493,254,276.1864377273308
2024-06-13,Greed,1.0,132577.22,6632.757115,79,192.75704215520875
2024-06-14,Greed,1.0,139868.66,10258.592609,31,997.7044158485279
2024-06-15,Greed,1.0,718350.25,3369.958346,78,86.67556232059664
2024-06-16,Greed,1.0,25235.079999999998,0.0,11,0.0
2024-06-17,Greed,1.0,368380.12,10599.502375,38,315.144564194019
2024-06-18,Greed,1.0,263314.79,282.57636,25,29.448076746454035
2024-06-19,Greed,1.0,417071.12,4887.656944,61,180.97142293583357
2024-06-20,Greed,1.0,207990.8,57478.456026,39,4202.023348756396
2024-06-21,Greed,1.0,176264.49,773.5582039999999,80,54.6582097931937
2024-06-22,Neutral,0.0,169594.27000000002,756.876565,24,65.30392406982597
2024-06-23,Greed,1.0,1792.12,0.0,5,0.0
2024-06-24,Neutral,0.0,403002.8,0.0,31,0.0
2024-06-25,Fear,-1.0,103099.08,4869.353105,49,242.73329860014363
2024-06-26,Neutral,0.0,365190.66000000003,4197.732182,72,181.6926720751968
2024-06-27,Fear,-1.0,130486.95,0.0,30,0.0
2024-06-29,Fear,-1.0,280095.11,6150.326145,75,179.89968807670226
2024-06-30,Neutral,0.0,30520.69,0.0,14,0.0
2024-07-01,Neutral,0.0,362670.14999999997,5065.839308,64,207.33447463371925
2024-07-02,Neutral,0.0,33347.47,2421.253116,18,226.36405308073617
2024-07-03,Neutral,0.0,179600.66,1118.387284,18,130.94390209637675
2024-07-04,Fear,-1.0,430568.01,0.0,25,0.0
2024-07-05,Fear,-1.0,272289.89,0.0,32,0.0
2024-07-06,Fear,-1.0,2490.17,108.87217799999999,24,10.03473956812726
2024-07-07,Fear,-1.0,498.75,61.428942,10,4.100173833321266
2024-07-08,Fear,-1.0,497.64,0.0,1,0.0
2024-07-09,Fear,-1.0,2736.45,648.984412,15,40.13596510326193
2024-07-10,Fear,-1.0,687900.21,11977.734907,56,337.8156690082534
2024-07-11,Fear,-1.0,169887.02,1876.812082,19,150.16378122148163
2024-07-12,Fear,-1.0,89582.97,1412.314654,19,112.44287174423458
2024-07-13,Fear,-1.0,139189.19,2913.617837,17,173.27801983740284
2024-07-14,Fear,-1.0,84001.13,0.0,7,0.0
2024-07-15,Neutral,0.0,198344.85,-1.0,26,0.1400758054109933
2024-07-16,Greed,1.0,144000.57,0.0,22,0.0
2024-07-17,Greed,1.0,626005.53,1859.269477,351,11.718171265834037
2024-07-18,Greed,1.0,649704.85,3803.884311,60,87.92602091436942
2024-07-19,Greed,1.0,150269.42,2155.891114,23,179.87386804302622
2024-07-20,Greed,1.0,244362.21,2299.169566,266,53.62978209591339
2024-07-21,Greed,1.0,234307.46,-2960.716887,448,11.365602294450625
2024-07-22,Greed,1.0,304213.8,1517.119876,154,72.41291986688015
2024-07-23,Greed,1.0,358526.54,89890.302206,370,513.7954073277451
2024-07-24,Greed,1.0,69207.93,625.561479,90,19.95680710255259
2024-07-25,Greed,1.0,528555.31,916.7382600000001,78,40.81134378827734
2024-07-26,Greed,1.0,548587.65,2766.513113,152,50.86868522207445
2024-07-27,Greed,1.0,905199.75,6400.623656,57,157.88829917379803
2024-07-28,Greed,1.0,43254.68,587.29903,16,36.25797427381541
2024-07-29,Greed,1.0,327199.14,330.80445399999996,39,21.730673754432168
2024-07-30,Greed,1.0,36006.47,0.0,6,0.0
2024-07-31,Greed,1.0,84506.54,765.690884,43,45.986517776302854
2024-08-01,Neutral,0.0,227774.53,167.080017,57,23.197203266011744
2024-08-02,Greed,1.0,396320.37,782.3681909999999,63,44.14907581961201
2024-08-03,Fear,-1.0,290532.86,464.1897,37,76.3123165975776
2024-08-04,Fear,-1.0,1207744.07,-122672.000883,127,3618.961540622186
2024-08-05,Fear,-1.0,420495.4,-13013.665169,80,795.0273715447163
2024-08-06,Extreme Fear,-2.0,61478.38,267.318048,107,8.28376598603028
2024-08-07,Fear,-1.0,2492.77,188.789255,33,10.349410204930836
2024-08-08,Extreme Fear,-2.0,16299.35,-40.712216999999995,9,9.68187399440364
2024-08-09,Neutral,0.0,503204.86,18082.071276,144,454.8533022933731
2024-08-10,Fear,-1.0,11339.29,0.0,88,0.0
2024-08-11,Fear,-1.0,44230.21,847.7766200000001,24,91.2518343902943
2024-08-12,Fear,-1.0,54167.32,858.6705000000001,48,64.64753431191872
2024-08-13,Fear,-1.0,20797.87,212.08102,23,19.422324125365535
2024-08-14,Fear,-1.0,66710.03,2168.9015130000003,25,329.1190167138969
2024-08-15,Fear,-1.0,1522.3700000000001,0.0,12,0.0
2024-08-16,Fear,-1.0,166382.84,825.230544,35,80.13737948448535
2024-08-17,Fear,-1.0,30248.96,-288.283113,30,52.63305464597027
2024-08-18,Fear,-1.0,62804.48,307.201888,15,30.913873872729887
2024-08-19,Fear,-1.0,100315.03,339.69958299999996,8,67.50399160612497
2024-08-20,Fear,-1.0,49914.8,192.602844,12,55.59965191504375
2024-08-21,Fear,-1.0,104990.41,656.200925,145,16.514528261674556
2024-08-23,Fear,-1.0,63509.56,1005.30527,10,280.4841642773341
2024-08-24,Greed,1.0,34999.67,0.0,7,0.0
2024-08-25,Neutral,0.0,21950.28,0.0,17,0.0
2024-08-26,Greed,1.0,92611.27,231.236918,6,60.225332502001116
2024-08-27,Neutral,0.0,70250.16,0.0,50,0.0
2024-08-28,Fear,-1.0,71160.06999999999,1333.359645,9,294.00593721532755
2024-08-29,Fear,-1.0,9995.85,0.0,1,0.0
2024-08-30,Fear,-1.0,37233.24,256.464,6,104.70098956552417
2024-08-31,Fear,-1.0,107507.43000000001,10.882801,34,0.8923899892238314
2024-09-01,Fear,-1.0,12359.68,137.433093,12,25.479618769976113
2024-09-02,Fear,-1.0,30000.42,0.0,2,0.0
2024-09-04,Fear,-1.0,131480.97,1065.785132,34,462.16602470807555
2024-09-05,Fear,-1.0,0.84,0.0,1,0.0
2024-09-06,Extreme Fear,-2.0,39047.1,-1104.856765,42,21.910908628012873
2024-09-08,Fear,-1.0,0.11,0.0,1,0.0
2024-09-09,Fear,-1.0,4014.4300000000003,0.0,2,0.0
2024-09-10,Fear,-1.0,2547.28,-219.729659,3,96.08066367806516
2024-09-11,Fear,-1.0,0.54,0.0,1,0.0
2024-09-14,Neutral,0.0,1014.8000000000001,0.0,11,0.0
2024-09-18,Neutral,0.0,13633.5,-878.684794,145,4.966129290375059
2024-09-19,Neutral,0.0,1521.8700000000001,0.0,19,0.0
2024-09-20,Neutral,0.0,332873.38,9585.03428,16,2004.9515901146353
2024-09-21,Neutral,0.0,165648.12,36165.56933,23,1429.8114770090967
2024-09-22,Neutral,0.0,19999.739999999998,0.0,3,0.0
2024-09-23,Neutral,0.0,40334.29,334.760796,2,236.7116289270065
2024-09-24,Neutral,0.0,7118.63,0.0,10,0.0
2024-09-25,Greed,1.0,52754.130000000005,0.0,9,0.0
2024-09-26,Neutral,0.0,113711.93000000001,439.812513,8,154.20271831132595
2024-09-27,Greed,1.0,126097.04,0.0,56,0.0
2024-09-28,Greed,1.0,29199.21,0.0,4,0.0
2024-09-30,Greed,1.0,214669.85,2710.626288,106,133.6657057863591
2024-10-01,Neutral,0.0,139954.32,0.0,4,0.0
2024-10-02,Fear,-1.0,99954.34,0.0,4,0.0
2024-10-03,Fear,-1.0,132935.69,100.375782,9,20.273575382952355
2024-10-04,Fear,-1.0,0.34,0.0,1,0.0
2024-10-05,Neutral,0.0,605605.74,5767.161892,37,217.0879728346648
2024-10-06,Neutral,0.0,300130.56,130.487079,22,17.741123762831634
2024-10-07,Neutral,0.0,219984.65,0.0,21,0.0
2024-10-08,Neutral,0.0,434584.13,5396.546638,36,223.40754741053024
2024-10-09,Neutral,0.0,220399.93,396.06272,14,61.54299038481661
2024-10-10,Fear,-1.0,300024.33999999997,0.0,16,0.0
2024-10-11,Fear,-1.0,488904.19,8885.327477,26,367.9830904604618
2024-10-12,Neutral,0.0,159713.4,541.55471,10,63.374247509280295
2024-10-13,Neutral,0.0,60002.42,0.0,10,0.0
2024-10-14,Neutral,0.0,61916.020000000004,1913.61958,5,497.27205914834235
2024-10-15,Greed,1.0,81173.36,1170.2260760000001,7,347.7876385038441
2024-10-16,Greed,1.0,80229.17,219.480876,11,35.58157491300189
2024-10-17,Greed,1.0,140531.75,36.11496,9,12.830443659406326
2024-10-18,Greed,1.0,120331.43000000001,333.219141,6,51.489580908627175
2024-10-19,Greed,1.0,99996.86,0.0,4,0.0
2024-10-20,Greed,1.0,176447.86000000002,389.155797,96,13.65197281145091
2024-10-21,Greed,1.0,324117.99,2464.915564,173,40.07987913321128
2024-10-22,Greed,1.0,60000.36,0.0,3,0.0
2024-10-23,Greed,1.0,210006.07,-46.489941,18,6.37713910085234
2024-10-25,Greed,1.0,427883.18,13235.862071,30,1366.4039341402422
2024-10-27,Greed,1.0,90664.41,666.6623079999999,4,293.9572048762827
2024-10-28,Greed,1.0,121495.25,167.28016200000002,13,44.454488070634156
2024-10-29,Greed,1.0,613267.8099999999,801.170876,53,99.68468397007351
2024-10-30,Extreme Greed,2.0,11830.85,9.150023,25,1.0256853979943898
2024-10-31,Extreme Greed,2.0,896173.36,1214.043811,48,33.00414935089389
2024-11-01,Extreme Greed,2.0,260981.03,1040.475736,23,154.1983753462747
2024-11-02,Greed,1.0,40000.0,0.0,2,0.0
2024-11-03,Greed,1.0,129055.66,0.0,6,0.0
2024-11-04,Greed,1.0,451811.97,2799.410474,36,118.94285081013497
2024-11-05,Greed,1.0,200627.23,678.4759280000001,10,93.32108146532121
2024-11-06,Greed,1.0,123906.9,2817.83723,15,309.14971367702964
2024-11-07,Extreme Greed,2.0,111335.3,4493.353136,113,107.40420684370638
2024-11-08,Extreme Greed,2.0,270700.44,-64.41354100000007,39,72.4018294193872
2024-11-09,Extreme Greed,2.0,193384.41,102.90894,86,2.90992297730476
2024-11-10,Extreme Greed,2.0,413636.7,991.114334,173,22.471438317729593
2024-11-11,Extreme Greed,2.0,1570572.42,6749.630996,373,60.90235280005483
2024-11-12,Extreme Greed,2.0,1226354.52,3494.399394,171,80.90406191682668
2024-11-13,Extreme Greed,2.0,515336.37,7846.402274,48,358.50791769432567
2024-11-14,Extreme Greed,2.0,1008361.81,4563.509225,110,89.20897697893908
2024-11-15,Extreme Greed,2.0,1427858.42,4140.740438,149,61.955774894975356
2024-11-16,Extreme Greed,2.0,303296.07,2769.521909,157,44.303347474612096
2024-11-17,Extreme Greed,2.0,1215987.57,882.975285,209,17.261524113421817
2024-11-18,Extreme Greed,2.0,2084339.58,4470.815187,346,87.8216130663201
2024-11-19,Extreme Greed,2.0,628031.15,2958.268991,305,37.73186830724049
2024-11-20,Extreme Greed,2.0,1999514.1199999999,4210.0928969999995,550,54.544471794452775
2024-11-21,Extreme Greed,2.0,598300.62,1692.430891,535,23.071714613651217
2024-11-22,Extreme Greed,2.0,1646713.62,-18105.345617,679,305.88652723565343
2024-11-23,Extreme Greed,2.0,516245.68,2901.531638,363,25.92430088738888
2024-11-24,Extreme Greed,2.0,664952.28,945.550386,172,24.231829677959688
2024-11-25,Extreme Greed,2.0,937410.87,5523.740734,255,136.53631849159856
2024-11-26,Extreme Greed,2.0,1146902.44,1094.809359,302,55.535465040558826
2024-11-27,Extreme Greed,2.0,1444242.53,-2654.495633,213,56.196623877144376
2024-11-28,Extreme Greed,2.0,1894225.15,-127075.39958499999,332,1422.4245637679367
2024-11-29,Extreme Greed,2.0,794262.91,176844.994152,393,2425.1393783219637
2024-11-30,Extreme Greed,2.0,1732193.7,37316.69352,373,327.5103351176057
2024-12-01,Extreme Greed,2.0,814711.82,40886.364494,416,338.03944268346726
2024-12-02,Extreme Greed,2.0,585243.56,18489.604313,270,379.90364074572494
2024-12-03,Extreme Greed,2.0,1084666.53,23576.539285,374,229.00768096588675
2024-12-04,Extreme Greed,2.0,769287.65,292891.815021,319,4090.2838520231076
2024-12-05,Extreme Greed,2.0,1256750.79,71574.11848800001,456,1402.284112762816
2024-12-06,Greed,1.0,3471019.22,-92624.643895,403,6326.353243835444
2024-12-07,Extreme Greed,2.0,451733.42,85906.279067,304,2478.915786497859
2024-12-08,Extreme Greed,2.0,932939.72,15965.933436,420,232.61343396421137
2024-12-09,Extreme Greed,2.0,983949.68,6310.967676,539,100.89854795146519
2024-12-10,Extreme Greed,2.0,3150424.08,39325.770231,1596,141.48990698368283
2024-12-11,Greed,1.0,2194098.33,319051.554217,1221,2003.1396625321522
2024-12-12,Extreme Greed,2.0,4557189.87,599151.795008,1932,1920.807926510415
2024-12-13,Extreme Greed,2.0,2880824.64,31935.901745,1173,194.07940958725385
2024-12-14,Extreme Greed,2.0,2369561.78,167801.399244,1235,647.5595884815575
2024-12-15,Extreme Greed,2.0,2583269.81,97525.315279,1697,400.0229746982094
2024-12-16,Extreme Greed,2.0,2740808.97,166774.344133,1055,863.2966321796321
2024-12-17,Extreme Greed,2.0,5233597.63,219591.305172,1941,546.8152085057872
2024-12-18,Extreme Greed,2.0,3798887.07,13682.994673,1429,90.0826143121339
2024-12-19,Extreme Greed,2.0,8241709.39,62744.004486000005,3339,219.82362949794262
2024-12-20,Greed,1.0,7681274.71,254969.660039,2488,462.26198976634464
2024-12-21,Greed,1.0,4382875.12,150022.163157,1681,263.0365857341915
2024-12-22,Greed,1.0,3087320.22,352197.163973,774,1859.8434888414529
2024-12-23,Greed,1.0,6771878.26,-29430.626577,2347,714.3762237450253
2024-12-24,Greed,1.0,1767036.11,14813.780116,338,352.00417886710017
2024-12-25,Greed,1.0,347889.35,756.6570469999998,208,89.4369605189536
2024-12-26,Extreme Greed,2.0,2205242.65,60228.639722,697,837.1572532043537
2024-12-27,Greed,1.0,347913.0,2672.811035,260,55.81376867703737
2024-12-28,Greed,1.0,281555.01,940.673623,161,29.85731881145236
2024-12-29,Greed,1.0,344628.54,2884.067927,201,84.84325152956883
2024-12-30,Greed,1.0,1073865.73,9009.738137,304,198.72959921857932
2024-12-31,Greed,1.0,877164.62,5445.01281,306,108.99687767512427
2025-01-01,Greed,1.0,282582.1,-9528.065345,96,989.3224125030252
2025-01-02,Greed,1.0,774674.84,8716.519087,361,117.65384746788118
2025-01-03,Greed,1.0,771208.99,6028.486793,508,63.36348991609002
2025-01-04,Greed,1.0,1826029.6199999999,2553.537968,371,75.44665860042967
2025-01-05,Greed,1.0,451943.57,3187.719363,239,59.881873800685874
2025-01-06,Extreme Greed,2.0,556526.99,6064.185393,573,104.19079085435088
2025-01-07,Extreme Greed,2.0,1313178.1,16098.227531,637,79.2581805510636
2025-01-08,Greed,1.0,3177275.18,130117.090554,1039,2408.3681940977062
2025-01-09,Greed,1.0,1020733.25,46975.928902,522,658.1149316624325
2025-01-10,Neutral,0.0,6547449.68,-10116.875552,819,816.5240640739952
2025-01-11,Greed,1.0,1658098.71,2269.080536,283,43.43091035574405
2025-01-12,Greed,1.0,2258459.17,5742.241803,602,150.46366054945935
2025-01-13,Greed,1.0,2936648.0100000002,9655.429352,408,77.40018335810606
2025-01-14,Greed,1.0,876581.97,16069.512355,275,146.32035377772365
